Level,Message
High,Leaving Monitored Scope: (Name=VqueryEngine;StaticScopeId=6jm5v) Execution Time=62.6767; CPU Milliseconds=18; Managed Bytes=573528; SQL Query Count=3; GCPauseMS=0; AllocBytes=575136;; Parent=SPRequest.GetListItemDataWithCallback2
High,Leaving Monitored Scope: (Name=SPRequest.GetListItemDataWithCallback2;StaticScopeId=6jm5v) Execution Time=63.4104; CPU Milliseconds=19; Managed Bytes=693080; SQL Query Count=3; GCPauseMS=0; AllocBytes=694816;; Parent=EnsureListItemsData
High,Leaving Monitored Scope: (Name=EnsureListItemsData;StaticScopeId=6jmxh) Execution Time=64.6405; CPU Milliseconds=20; Managed Bytes=1046224; SQL Query Count=3; GCPauseMS=0; AllocBytes=1048344;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,"LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - Result [True], Data [LicenseValidationProvider.GetUserLicenses - UserPuid [10032002CE038AB7], Licenses [SPO_SYS_EnterpriseExtranetUsers]
LicenseValidationProvider.IsUserLicensedForEntity - License [SPO_SYS_EnterpriseExtranetUsers] has Entities [BCS,HostBIEnabled,IPFS,EntSearch,VisioServices,OfficeWebAppsEdit,PersonalSiteRestriction,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart], LicensableEntity to validate [OfficeWebAppsEdit]
LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - LicensableEntity [OfficeWebAppsEdit], API [SPWebApplication_IsUserLicensedForEntity], Scenario [None], ResultFromOldPath [True], ResultFromNewPath [True], IsMismatchResult [False]
]"
Medium,NumberLine mismatch for mediaTAUseHashedProofToken feature: parsed MediaTAUseHashedProofToken but incoming was mediaTAUseHashedProofToken
Medium,MediaTAUrlGenerator:GetListSchemaData: Setting mediaTA drive hashed token for the Url https://colliers.sharepoint.com/_api/v2.0/drives/b!WwFaxDBIukSlv-36bYkkG-5Vnple9PtAlgl15GSD-IKbEQ7QDTFUSaUQ2lWxXxCe
Medium,"SPIdentityProofTokenManager: Proof token with Hash. EndPoint Url: 'https://colliers.sharepoint.com/_api/v2.0/drives/b!WwFaxDBIukSlv-36bYkkG-5Vnple9PtAlgl15GSD-IKbEQ7QDTFUSaUQ2lWxXxCe<scrubbed>', Web Url: 'https://colliers.sharepoint.com/sites/NZ-EXT-TWG<scrubbed>', Site Url: https://colliers.sharepoint.com/sites/NZ-EXT-TWG<scrubbed>"
Medium,The symmetric key found in the cache.
Medium,SPIdentityProofTokenManager: Html Decoded Value: 'https://colliers.sharepoint.com/_api/v2.0/drives/b!WwFaxDBIukSlv-36bYkkG-5Vnple9PtAlgl15GSD-IKbEQ7QDTFUSaUQ2lWxXxCe<scrubbed>'
Medium,SPIdentityProofTokenManager: EndpointUrl: 'https://colliers.sharepoint.com/_api/v2.0/drives/b!WwFaxDBIukSlv-36bYkkG-5Vnple9PtAlgl15GSD-IKbEQ7QDTFUSaUQ2lWxXxCe<scrubbed>' Hash Value: '6RIErn16XxeFMK+BR+g9CpZv4kSu+YnbmkHyi8vCYKg='
Medium,There is no SPSharedRequestContext in the thread context
Medium,Adding session claims for non-apponly hashed proof token.
High,The HTTP context info accessor does not have cached IP address.
Medium,Leaving Monitored Scope: (Name=CreateSignedHashedProofToken;StaticScopeId=6i4t0) Execution Time=0.5392; CPU Milliseconds=0; Managed Bytes=72176; SQL Query Count=0; GCPauseMS=0; AllocBytes=73400;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,SPIdentityProofTokenManager: endpointIdentity: '00000003-0000-0ff1-ce00-000000000000/colliers.sharepoint.com@049e3382-8cdc-477b-9317-951b04689668'
Medium,"SPIdentityProofTokenManager: Proof token with Hash. EndPoint Url: 'https://colliers.sharepoint.com/_api/v2.1/drives/b!WwFaxDBIukSlv-36bYkkG-5Vnple9PtAlgl15GSD-IKbEQ7QDTFUSaUQ2lWxXxCe<scrubbed>', Web Url: 'https://colliers.sharepoint.com/sites/NZ-EXT-TWG<scrubbed>', Site Url: https://colliers.sharepoint.com/sites/NZ-EXT-TWG<scrubbed>"
Medium,The symmetric key found in the cache.
Medium,SPIdentityProofTokenManager: Html Decoded Value: 'https://colliers.sharepoint.com/_api/v2.1/drives/b!WwFaxDBIukSlv-36bYkkG-5Vnple9PtAlgl15GSD-IKbEQ7QDTFUSaUQ2lWxXxCe<scrubbed>'
Medium,SPIdentityProofTokenManager: EndpointUrl: 'https://colliers.sharepoint.com/_api/v2.1/drives/b!WwFaxDBIukSlv-36bYkkG-5Vnple9PtAlgl15GSD-IKbEQ7QDTFUSaUQ2lWxXxCe<scrubbed>' Hash Value: 'aiIbMmvEeUdtgxdOdFd9xIJrZP701Y8ak33v3gbfo5A='
Medium,There is no SPSharedRequestContext in the thread context
Medium,Adding session claims for non-apponly hashed proof token.
Medium,Leaving Monitored Scope: (Name=CreateSignedHashedProofToken;StaticScopeId=6i4t0) Execution Time=0.3026; CPU Milliseconds=0; Managed Bytes=61456; SQL Query Count=0; GCPauseMS=0; AllocBytes=62680;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,SPIdentityProofTokenManager: endpointIdentity: '00000003-0000-0ff1-ce00-000000000000/colliers.sharepoint.com@049e3382-8cdc-477b-9317-951b04689668'
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,"Using Global region present in config db for region compute, microservice: media primary region: southcentralus secondary region: northcentralus primary dc: SAT11 secondary dc: "
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,"ServiceEnvironment: [p] , publicFacingUrl: [True]"
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,"Using Global region present in config db for region compute, microservice: media primary region: southcentralus secondary region: northcentralus primary dc: SAT11 secondary dc: "
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,"ServiceEnvironment: [p] , publicFacingUrl: [True]"
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,"Using Global region present in config db for region compute, microservice: pushn primary region: southcentralus secondary region: northcentralus primary dc: SAT11 secondary dc: "
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,Look up azure region from microservice default maps for datacenter [SAT11].
Medium,"ServiceEnvironment: [p] , publicFacingUrl: [True]"
High,"Got PushChannel service host urls: https://southcentralus0-pushnp.svc.ms,https://northcentralus0-pushnp.svc.ms"
Medium,Found 1 tenant wide extensions
Medium,Skip client side custom action 'DtmButtonCreator' because it was not registered for current context with RegistrationId: 100
Medium,BusinessAppPlatformUtility.IsBizAppsPackagingFlightEnabled: True
Medium,BusinessAppPlatformUtility.IsBizAppsPackagingFlightEnabled: True
Medium,No application id for notification url augmentation
Medium,SyntexAIBuilderEnabled: Checking SPFarm.IsSPO - True and IsAIBuilderEnabled
Medium,IsAIBuilderEnabled: useCache - True
Medium,IsAIBuilderEnabled: isAIBuilderEnabled returned from SiteSubscriptionSetting - True
Medium,"SyntexPAYGEnabled:'False', Is setting valid:'False', Features enabled:'None'."
Medium,SPFarm InitializationSettings ExternalService_contentcenterexperiencesupported is True
Medium,"LicensableEntityMap.LicensableEntities - Total Count [64], Values [BCS,Duet,HostBIEnabled,IPFS,EntSearch,VisioServices,MySites,CloudStorage,EntSiteTemplate,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart,Project,Microsoft.Office.Project.PWA.WebParts.IssuesPart,Microsoft.Office.Project.PWA.WebParts.ProjectCenterPart,Microsoft.Office.Project.PWA.WebParts.ProjectCustomFieldsPart,Microsoft.Office.Project.PWA.WebParts.ProjectDrillDownPart,Microsoft.Office.Project.PWA.WebParts.ProjectFieldPart,Microsoft.Office.Project.PWA.WebParts.ProjectWorkspacesPart,Microsoft.Office.Project.PWA.WebParts.QueueStatusPart,Microsoft.Office.Project.PWA.WebParts.RemindersPart,Microsoft.Office.Project.PWA.WebParts.ResourceAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.ResourceCenterPart,Microsoft.Office.Project.PWA.WebParts.ResourcePlansPart,Microsoft.Office.Project.PWA.WebParts.RisksPart,Microsoft.Office.Project.PWA.WebParts.SchedulePart,Microsoft.Office.Project.PWA.WebParts.StatusApprovalsPart,Microsoft.Office.Project.PWA.WebParts.StrategicImpactPart,Microsoft.Office.Project.PWA.WebParts.TaskPart,Microsoft.Office.Project.PWA.WebParts.TeamAssignmentsPart,Microsoft.Office.Project.PWA.WebParts.TimesheetPart,Microsoft.Office.Project.PWA.WebParts.WorkflowStatusPart,OfficeWebAppsEdit,CloudStorageBasic,CloudStorageBasicP2,CloudStorageEnterprise,CloudStorageDeskless,ProjectTeam,PersonalSiteRestriction,HostExtendedBIEnabled,OneDriveViral,OneDriveLite,VisioOnlineEdit,ContentServices,MnAODMove,SyntexSeatLicense,VivaAmplifyLicense,ClipchampLicense,ClipchampPremiumLicense,VivaConnectionsLicense,SharePointCopilot,StreamCopilot,OneDriveClipchamp]"
Medium,LicenseValidationProvider.IsUserLicensedForEntity - Lisensable Entity [VisioOnlineEdit] defined in SPO
Medium,"LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - Result [False], Data [LicenseValidationProvider.GetUserLicenses - UserPuid [10032002CE038AB7], Licenses [SPO_SYS_EnterpriseExtranetUsers] from cache
LicenseValidationProvider.IsUserLicensedForEntity - License [SPO_SYS_EnterpriseExtranetUsers] has Entities [BCS,HostBIEnabled,IPFS,EntSearch,VisioServices,OfficeWebAppsEdit,PersonalSiteRestriction,Microsoft.Office.Excel.WebUI.ExcelWebRenderer,Microsoft.Office.InfoPath.Server.Controls.WebUI.BrowserFormWebPart,Microsoft.Office.Server.Search.WebControls.CatalogItemReuseWebPart,Microsoft.Office.Server.Search.WebControls.ContentBySearchWebPart,Microsoft.Office.Server.Search.WebControls.TaxonomyRefinementScriptWebPart,Microsoft.Office.Visio.Server.WebControls.VisioWebAccess,Microsoft.SharePoint.Portal.WebControls.BusinessDataActionsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataAssociationWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataDetailsWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataFilterWebPart,Microsoft.SharePoint.Portal.WebControls.BusinessDataItemBuilder,Microsoft.SharePoint.Portal.WebControls.BusinessDataListWebPart,Microsoft.SharePoint.Portal.WebControls.IndicatorWebPart,Microsoft.SharePoint.Portal.WebControls.KPIListWebPart], LicensableEntity to validate [VisioOnlineEdit]
LicenseValidationProvider.IsUserLicensedForEntityWithQosEvent - LicensableEntity [VisioOnlineEdit], API [SPWebApplication_IsUserLicensedForEntity], Scenario [None], ResultFromOldPath [False], ResultFromNewPath [False], IsMismatchResult [False]
]"
Medium,Encountered empty or invalid OAuth token on request. Do not bypass FormDigest for OAuth.
Medium,"|            [SharePoint] GridManager: <not available>, -Farm <not available> -SiteId c45a015b-4830-44ba-a5bf-edfa6d89241b -DocId 6220ff3d-3a6d-45ee-844e-cdd72a536dc3"
Medium,SPFileStreamHostBlobStore created on S: c45a015b-4830-44ba-a5bf-edfa6d89241b D: 6220ff3d-3a6d-45ee-844e-cdd72a536dc3 partition: 00000000-0000-0000-0000-000000000000 with store bsn: 100 with contentVersion: 0 and HybridForNewCobaltFile: No
Medium,"Leaving VfileBlobManager::bind: hr: 0x0, data size: 2751, SiteId: {C45A015B-4830-44BA-A5BF-EDFA6D89241B}, DocId: {6220FF3D-3A6D-45EE-844E-CDD72A536DC3}, Level: 1"
Medium,"DGCache [2024-04-02 20:23:13Z] : 11344, 8116, 0x0000000000000000, 0, InitWebSecurity, VdbSubweb::getDomainGroupCache
"
Medium,"DGCache [2024-04-02 20:23:13Z] : 11344, 8116, 0x0000000000000000, 0, VsecurableObject::initIdentityFromRowset, before
"
Medium,"DGCache [2024-04-02 20:23:13Z] : 11344, 8116, 0x0000000000000000, 0, VsecurableObject::initIdentityFrom, before
"
Medium,"DGCache [2024-04-02 20:23:13Z] : 11344, 8116, 0x0000000000000000, 0, VsiteUser::init, before
"
Medium,"Does userInfo need update. siteId: [C45A015B-4830-44BA-A5BF-EDFA6D89241B], userId: [44], bUserInfoNeedsUpdate: [False]"
Medium,"DGCache [2024-04-02 20:23:13Z] : 11344, 8116, 0x0000000000000000, 0, VsecurityUtil::confirmDBState, VdbSubweb::getDomainGroupCache
"
Medium,"UnifiedAudit: WriteSPUnifiedAuditEntry begin. Object Type: [File], Operation Type: [FileAccessed], suppressAudit: [False], activityEnabled: [True]"
Medium,Initalizing auditRecord AppAccessContext field
Medium,Activity Enabled but no Activity in interop
Unexpected,GetCrossGeoTenanStoreProperty: unable to parse value present in store rawValue False for subscription - 049e3382-8cdc-477b-9317-951b04689668 and property - IsAuditLogEnrichmentEnabled
Unexpected,GetCrossGeoTenanStoreProperty: unable to parse value present in store rawValue False for subscription - 049e3382-8cdc-477b-9317-951b04689668 and property - SubscribeForZTNA
Medium,"SPUnifiedAuditDistributedCache.GetCacheObject - CacheSuccess : CacheHit, Task timeout interval: 20"
Medium,"GetAccessedOperationCachedMetadata: Within Rolling window, skip logging for Operation: FileAccessed with MostRecentLogTime 4/3/2024 3:22:35 AM"
Medium,"SPAuditLog:SuppressRepeatedEventsAndWriteAudit - Skipping audit event since it logged within rolling window; userkey: i:0h.f|membership|10032002ce038ab7@live.com, operation: FileAccessed"
Medium,"Leaving VdocumentStore::httpGetDocument: hr: 0x0, data size: 2751, SiteId: {C45A015B-4830-44BA-A5BF-EDFA6D89241B}, DocId: {6220FF3D-3A6D-45EE-844E-CDD72A536DC3}, Level: 1, ListType: 101"
Medium,Missing redirect URL  (hr = 0x00000002).
High,Leaving Monitored Scope: (Name=GetFileAndMetaInfo;StaticScopeId=6jmwz) Execution Time=14.7068; CPU Milliseconds=6; Managed Bytes=834992; SQL Query Count=2; GCPauseMS=0; AllocBytes=837624;; Parent=GetWebPartPageContent
High,Leaving Monitored Scope: (Name=GetWebPartPageContent;StaticScopeId=6jmwy) Execution Time=15.0261; CPU Milliseconds=7; Managed Bytes=869912; SQL Query Count=2; GCPauseMS=0; AllocBytes=872672;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,BusinessAppPlatformUtility.IsBizAppsPackagingFlightEnabled: True
Medium,IsSpartanWebViewListsEnabledWithExperimentCheck - Evaluating the conditions for Spartan to be enabled
Medium,IsSpartanWebViewListsEnabledWithExperimentCheck - isWebView is FALSE
Medium,ShouldFallbackToItemsScope - Base Type is DocumentLibrary!
Medium,"ShouldFallbackToItemsScope - TRUE because list base type is not Generic or DocLib, DocumentLibrary"
Medium,IsSpartanWebViewListsEnabledWithExperimentCheck - shouldFallbackToItemsScope is TRUE
Medium,XSLTListviewWebPart.IsSpartanToggledOffByUser: Spartan is not turned off by the user (or we hit an error).
Medium,IsSpartanWebViewListsEnabledWithExperimentCheck - isSpartanInNewTabFlightEnabled is FALSE
Medium,IsSpartanWebViewListsEnabledWithExperimentCheck - isSpartanEnabled is FALSE
Medium,ShouldFallbackToItemsScope - Base Type is DocumentLibrary!
Medium,"ShouldFallbackToItemsScope - TRUE because list base type is not Generic or DocLib, DocumentLibrary"
Medium,FormatException while doing the type conversion for value: de2e8716-31d2-4176-9035-16ecb9d966bd and type: System.Int32
Medium,SPListNext - Tenant ON
Medium,Found 1 tenant wide extensions
High,Leaving Monitored Scope: (Name=DeltaPage.GetPageCustomActions;StaticScopeId=6jm14) Execution Time=0.5976; CPU Milliseconds=0; Managed Bytes=118448; SQL Query Count=0; GCPauseMS=0; AllocBytes=119672;; Parent=WebPartPage.CheckShouldLoadSPFramework
Medium,"UnifiedAudit: WriteAuditEvent begin. Object Type: [List], Operation Type: [ListViewed]"
Medium,Initalizing auditRecord AppAccessContext field
Medium,"SPUnifiedAuditDistributedCache.GetCacheObject - CacheSuccess : CacheHit, Task timeout interval: 20"
Medium,"GetAccessedOperationCachedMetadata: Within Rolling window, skip logging for Operation: ListViewed with MostRecentLogTime 4/3/2024 3:22:34 AM"
Medium,"SPAuditLog:SuppressRepeatedEventsAndWriteAudit - Skipping audit event since it logged within rolling window; userkey: i:0h.f|membership|10032002ce038ab7@live.com, operation: ListViewed"
Medium,Found 1 tenant wide extensions
Medium,Skip client side custom action 'DtmButtonCreator' because it was not registered for current context with RegistrationId: 100
High,Leaving Monitored Scope: (Name=XSLTListViewWebPart.GetListClientSideExtensionCustomActions;StaticScopeId=6jmjq) Execution Time=0.9306; CPU Milliseconds=0; Managed Bytes=165800; SQL Query Count=0; GCPauseMS=0; AllocBytes=167024;; Parent=WebPartPage.CheckShouldLoadSPFramework
High,Leaving Monitored Scope: (Name=WebPartPage.CheckShouldLoadSPFramework;StaticScopeId=6jmjv) Execution Time=7.469; CPU Milliseconds=4; Managed Bytes=661968; SQL Query Count=0; GCPauseMS=0; AllocBytes=663704;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Leaving Monitored Scope: (Name=SPClientSideFirstPartyComponentProvider.GetDisabledWebPartIds;StaticScopeId=6jm0r) Execution Time=0.0468; CPU Milliseconds=0; Managed Bytes=3248; SQL Query Count=0; GCPauseMS=0; AllocBytes=4472;; Parent=First party client side component retrieval
Medium,Leaving Monitored Scope: (Name=First party client side component retrieval;StaticScopeId=6jm0s) Execution Time=2.1302; CPU Milliseconds=2; Managed Bytes=2876536; SQL Query Count=0; GCPauseMS=0; AllocBytes=2877888;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Leaving Monitored Scope: (Name=SPClientSideFirstPartyComponentProvider.GetDisabledWebPartIds;StaticScopeId=6jm0r) Execution Time=0.0526; CPU Milliseconds=0; Managed Bytes=3248; SQL Query Count=0; GCPauseMS=0; AllocBytes=4472;; Parent=First party client side component retrieval
Unexpected,[SPClientSideFirstPartyComponentProvider.GetComponentQueryResultFromManifestServer] Could not get query result from manifest server Id: c0aa27d0-18a1-4c28-b61e-1ea51fc0a0c5
Medium,Leaving Monitored Scope: (Name=First party client side component retrieval;StaticScopeId=6jm0s) Execution Time=2.3188; CPU Milliseconds=2; Managed Bytes=2871720; SQL Query Count=0; GCPauseMS=0; AllocBytes=2873072;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,Leaving Monitored Scope: (Name=Third party cached client side component retrieval;StaticScopeId=6jm0u) Execution Time=0.0836; CPU Milliseconds=0; Managed Bytes=7944; SQL Query Count=0; GCPauseMS=0; AllocBytes=9168;; Parent=Microsoft.SharePoint.SPList.RenderListDataAsStream
Medium,[SPClientSideComponentQueryResultCollection.AddComponent] Trying to add multiple times component with id '7263c7d0-1d6a-45ec-8d85-d4d1d234171b' and version '1.11.0'
Medium,Leaving Monitored Scope: (Name=SPClientSideFirstPartyComponentProvider.GetDisabledWebPartIds;StaticScopeId=6jm0r) Execution Time=0.0594; CPU Milliseconds=0; Managed Bytes=3456; SQL Query Count=0; GCPauseMS=0; AllocBytes=4680;; Parent=First party client side component retrieval
