"Site","Owner","Storage (GB)","URL"
"https://5xxsz0-my.sharepoint.com/","","0.001953125","https://5xxsz0-my.sharepoint.com/"
"https://5xxsz0.sharepoint.com/","","0.0009765625","https://5xxsz0.sharepoint.com/"
"https://5xxsz0.sharepoint.com/search","","0.0009765625","https://5xxsz0.sharepoint.com/search"
"https://5xxsz0.sharepoint.com/sites/allcompany","allcompany@5xxsz0.onmicrosoft.com","0.0009765625","https://5xxsz0.sharepoint.com/sites/allcompany"
"https://5xxsz0.sharepoint.com/sites/appcatalog","","0.0009765625","https://5xxsz0.sharepoint.com/sites/appcatalog"
"https://5xxsz0.sharepoint.com/sites/DigitalInitiativePublicRelations2","DigitalInitiativePublicRelations@5xxsz0.onmicrosoft.com","0.0009765625","https://5xxsz0.sharepoint.com/sites/DigitalInitiativePublicRelations2"
"https://5xxsz0.sharepoint.com/sites/Mark8ProjectTeam2","Mark8ProjectTeam@5xxsz0.onmicrosoft.com","0.0009765625","https://5xxsz0.sharepoint.com/sites/Mark8ProjectTeam2"
"https://5xxsz0.sharepoint.com/sites/MSFT","MSFT@5xxsz0.onmicrosoft.com","0.0009765625","https://5xxsz0.sharepoint.com/sites/MSFT"
"https://5xxsz0.sharepoint.com/sites/Retail","Retail@5xxsz0.onmicrosoft.com","0.0009765625","https://5xxsz0.sharepoint.com/sites/Retail"
"https://5xxsz0.sharepoint.com/sites/SalesandMarketing","SalesandMarketing@5xxsz0.onmicrosoft.com","0.0009765625","https://5xxsz0.sharepoint.com/sites/SalesandMarketing"
"https://5xxsz0.sharepoint.com/sites/SampleTeamSite","SampleTeamSite@5xxsz0.onmicrosoft.com","0.0009765625","https://5xxsz0.sharepoint.com/sites/SampleTeamSite"
"https://5xxsz0.sharepoint.com/sites/Test","SpAdmin@5xxsz0.onmicrosoft.com","0.107421875","https://5xxsz0.sharepoint.com/sites/Test"
"https://5xxsz0.sharepoint.com/sites/U.S.Sales","U.S.Sales@5xxsz0.onmicrosoft.com","0.0009765625","https://5xxsz0.sharepoint.com/sites/U.S.Sales"
